"",".rownames","price_3_nights","neigh_simp","number_of_reviews","reviews_per_month",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid","obs_num"
"75","76",890.9,"City of Santa Cruz",52,0.68,968.057454629043,-77.1574546290432,0.00707109697356932,844.799215054579,9.99378721426852e-06,-0.0917606231195532,75
"76","77",610.04,"Unincorporated Areas",553,7.1,147.160178181992,462.879821818008,0.1347544540772,844.472643241764,0.00902661061976071,0.589706753184538,76
"77","78",528.5,"City of Capitola",22,0.29,1228.36980814816,-699.869808148157,0.0176289507206027,844.133300375581,0.00209427494511761,-0.836791036433959,77
"78","79",594.94,"City of Santa Cruz",116,1.51,839.996253656322,-245.056253656322,0.00924733109833162,844.725408922069,0.000132416258295137,-0.291756609022652,78
"79","80",302,"Unincorporated Areas",1,0.02,1252.81460659042,-950.814606590419,0.00673608686302376,843.57653309719,0.00144475391622614,-1.13057936486522,79
"80","81",347.3,"City of Santa Cruz",10,0.33,1054.88274920254,-707.582749202539,0.00752404691095105,844.125373864058,0.000895137615676666,-0.841695059724255,80
"81","82",498.3,"City of Santa Cruz",10,0.15,1052.30773201691,-554.007732016913,0.00789470832598782,844.389178820552,0.000576203690394894,-0.659135163930685,81
"82","84",416.76,"City of Santa Cruz",133,1.74,806.116347884335,-389.356347884335,0.0105174886416977,844.600265542476,0.000381165997506139,-0.46385339177415,82
"83","85",271.8,"Unincorporated Areas",108,1.41,1038.74581508376,-766.945815083756,0.00705763611201703,844.006469982366,0.00098551757209573,-0.912095262916053,83
"84","86",1630.8,"Unincorporated Areas",29,0.39,1196.88618251569,433.913817484306,0.00566127552505533,844.551413058104,0.000252334348069864,0.515672345394677,84
"85","87",993.58,"Unincorporated Areas",30,0.43,1195.27192587993,-201.691925879933,0.00555181165919691,844.75203942691,5.34528978653726e-05,-0.239681752080738,85
"86","88",1812,"Unincorporated Areas",7,0.1,1240.84016261086,571.159837389143,0.00643511249145055,844.363533034722,0.00049774031871414,0.679042695701343,86
"87","89",555.68,"City of Santa Cruz",219,3.01,636.24701447114,-80.5670144711399,0.0214955809737225,844.798352985315,3.41084490617419e-05,-0.0965191332268514,87
"88","90",241.6,"Unincorporated Areas",35,0.47,1184.91173853613,-943.311738536132,0.00553398867313065,843.597359955658,0.00116544740918476,-1.1209798468754,88
"89","91",459.04,"Unincorporated Areas",102,1.4,1051.72165463551,-592.681654635506,0.00655212212437156,844.329392642691,0.000545831513919135,-0.704671131136891,89
"90","92",1380.14,"Unincorporated Areas",97,1.31,1061.36655942774,318.773440572256,0.00636564086112853,844.669115716221,0.000153347612016969,0.378971340405017,90
"91","93",673.46,"Unincorporated Areas",38,0.54,1179.35368607729,-505.893686077289,0.00539051955201708,844.459545638677,0.000326413251016258,-0.601132903587771,91
"92","94",1319.74,"Unincorporated Areas",53,0.74,1149.41757612838,170.322423871615,0.00528618108475245,844.767907928627,3.6275484173301e-05,0.202376598242636,92
